Linsensüppchen	Linse<NN>Suppe<NN>chen<SUFF>	Linsensuppe
Kioskhäuschen	Kiosk<NN>Haus<NN>chen<SUFF>	Kioskhaus
Magnesiumstäbchen	Magnesium<NN>Stab<NN>chen<SUFF>	Magnesiumstab
Schnapskännchen	Schnaps<NN>Kanne<NN>chen<SUFF>	Schnapskanne
Wirbelwindkindchen	Wirbel<NN>Wind<NN>Kind<NN>chen<SUFF>	Wirbelwindkind
Adventstürchen	Advent<NN>Türe<NN>chen<SUFF>	Adventstüre
Kernkörperchen	Kern<NN>Körper<NN>chen<SUFF>	Kernkörper
Gebetskäppchen	Gebet<NN>Kappe<NN>chen<SUFF>	Gebetskappe
Feigenblättchen	Feige<NN>Blatt<NN>chen<SUFF>	Feigenblatt
Symbolbildchen	Symbol<NN>Bild<NN>chen<SUFF>	Symbolbild
Sonnenschirmchen	Sonne<NN>Schirm<NN>chen<SUFF>	Sonnenschirm
Wärmebettchen	Wärme<NN>Bett<NN>chen<SUFF>	Wärmebett
Pfaffenhütchen	Pfaffe<NN>Hut<NN>chen<SUFF>	Pfaffenhut
Blumenkränzchen	Blume<NN>Kranz<NN>chen<SUFF>	Blumenkranz
Wellblechhäuschen	Wellblech<NN>Haus<NN>chen<SUFF>	Wellblechhaus
Fernsehsternchen	Fernsehen<NN>Stern<NN>chen<SUFF>	Fernsehstern
Notfallköfferchen	Notfall<NN>Koffer<NN>chen<SUFF>	Notfallkoffer
Hummelbienchen	Hummel<NN>Biene<NN>chen<SUFF>	Hummelbiene
Bilderbuchstädtchen	Bild<NN>Buch<NN>Stadt<NN>chen<SUFF>	Bilderbuchstadt
Fleißsternchen	Fleiß<NN>Stern<NN>chen<SUFF>	Fleißstern
Aufnahmelämpchen	auf<VPART>nehmen<V><NN><SUFF>Lampe<NN>chen<SUFF>	Aufnahmelampe
Holzspießchen	Holz<NN>Spieß<NN>chen<SUFF>	Holzspieß
Flauschebällchen	Flausch<NN>Ball<NN>chen<SUFF>	Flauscheball
Olivenbäumchen	Olive<NN>Baum<NN>chen<SUFF>	Olivenbaum
Zierdeckchen	Zier<NN>Decke<NN>chen<SUFF>	Zierdecke
Windrädchen	Wind<NN>Rad<NN>chen<SUFF>	Windrad
Bürgertöchterchen	Bürger<NN>Tochter<NN>chen<SUFF>	Bürgertochter
Schweineöhrchen	Schwein<NN>Ohr<NN>chen<SUFF>	Schweineohr
Katzenkörbchen	Katze<NN>Korb<NN>chen<SUFF>	Katzenkorb
Bierfläschchen	Bier<NN>Flasche<NN>chen<SUFF>	Bierflasche
Papierzettelchen	Papier<NN>Zettel<NN>chen<SUFF>	Papierzettel
Plastikstäbchen	Plastik<NN>Stab<NN>chen<SUFF>	Plastikstab
Couchtischdeckchen	Couch<NN>Tisch<NN>Decke<NN>chen<SUFF>	Couchtischdecke
Gartenbänkchen	Garten<NN>Bank<NN>chen<SUFF>	Gartenbank
Trinkgeldtellerchen	trinken<V>Geld<NN>Teller<NN>chen<SUFF>	Trinkgeldteller
Holzpferdchen	Holz<NN>Pferd<NN>chen<SUFF>	Holzpferd
Waldsträßchen	Wald<NN>Straße<NN>chen<SUFF>	Waldstraße
Zuckerbäckertürmchen	Zucker<NN>Bäcker<NN>Turm<NN>chen<SUFF>	Zuckerbäckerturm
Pantoffeltierchen	Pantoffel<NN>Tier<NN>chen<SUFF>	Pantoffeltier
Gurkenschnittchen	Gurke<NN>Schnitte<NN>chen<SUFF>	Gurkenschnitte
Schinkenscheibchen	Schinken<NN>Scheibe<NN>chen<SUFF>	Schinkenscheibe
Weltstädtchen	Welt<NN>Stadt<NN>chen<SUFF>	Weltstadt
Bambuskörbchen	Bambus<NN>Korb<NN>chen<SUFF>	Bambuskorb
Rettungsschirmchen	retten<V>ung<NN><SUFF>Schirm<NN>chen<SUFF>	Rettungsschirm
Touristengrüppchen	Tour<NN>ist<NN><SUFF>Gruppe<NN>chen<SUFF>	Touristengruppe
Einlassbändchen	Einlass<NN>Band<NN>chen<SUFF>	Einlassband
Moderatorenkärtchen	Moderator<NN>Karte<NN>chen<SUFF>	Moderatorenkarte
Holzköpfchen	Holz<NN>Kopf<NN>chen<SUFF>	Holzkopf
Gangsterpärchen	Gangster<NN>Paar<NN>chen<SUFF>	Gangsterpaar
Milchfläschchen	Milch<NN>Flasche<NN>chen<SUFF>	Milchflasche
Zimmerkätzchen	Zimmer<NN>Katze<NN>chen<SUFF>	Zimmerkatze
Tomatensüppchen	Tomate<NN>Suppe<NN>chen<SUFF>	Tomatensuppe
Abschiedsliedchen	Abschied<NN>Lied<NN>chen<SUFF>	Abschiedslied
Petersiliensträußchen	Petersilie<NN>Strauß<NN>chen<SUFF>	Petersilienstrauß
Picknickplätzchen	Picknick<NN>Platz<NN>chen<SUFF>	Picknickplatz
Taschenlämpchen	Tasche<NN>Lampe<NN>chen<SUFF>	Taschenlampe
Stummfilmpärchen	stumm<ADJ>Film<NN>Paar<NN>chen<SUFF>	Stummfilmpaar
Frühstückshäppchen	Frühstück<NN>Happen<NN>chen<SUFF>	Frühstückshappen
Trachtentäschchen	Tracht<NN>Tasche<NN>chen<SUFF>	Trachtentasche
Polymerkügelchen	Polymer<NN>Kugel<NN>chen<SUFF>	Polymerkugel
Maispflänzchen	Mais<NN>Pflanze<NN>chen<SUFF>	Maispflanze
Löwenköpfchen	Löwe<NN>Kopf<NN>chen<SUFF>	Löwenkopf
Wildschweinbäckchen	Wildschwein<NN>Backe<NN>chen<SUFF>	Wildschweinbacke
Karottenwürfelchen	Karotte<NN>Würfel<NN>chen<SUFF>	Karottenwürfel
Luftpölsterchen	Luft<NN>Polster<NN>chen<SUFF>	Luftpolster
Wasserspäßchen	Wasser<NN>Spaß<NN>chen<SUFF>	Wasserspaß
Zwerggürkchen	Zwerg<NN>Gurke<NN>chen<SUFF>	Zwerggurke
Prozentpünktchen	Prozent<NN>Punkt<NN>chen<SUFF>	Prozentpunkt
Schleimtröpfchen	Schleim<NN>Tropfen<NN>chen<SUFF>	Schleimtropfen
Infoblättchen	Info<NN>Blatt<NN>chen<SUFF>	Infoblatt
Anzeigelämpchen	Anzeige<NN>Lampe<NN>chen<SUFF>	Anzeigelampe
Aufzuchtschälchen	Aufzucht<NN>Schale<NN>chen<SUFF>	Aufzuchtschale
Raubtierhöschen	Raub<NN>Tier<NN>Hose<NN>chen<SUFF>	Raubtierhose
Lederschühchen	Leder<NN>Schuh<NN>chen<SUFF>	Lederschuh
Speckböhnchen	Speck<NN>Bohne<NN>chen<SUFF>	Speckbohne
Plastiknationalfähnchen	Plastik<NN>national<ADJ>Fahne<NN>chen<SUFF>	Plastiknationalfahne
Papierkärtchen	Papier<NN>Karte<NN>chen<SUFF>	Papierkarte
Blechkläppchen	Blech<NN>Klappe<NN>chen<SUFF>	Blechklappe
Stabilisierungsschrittchen	stabilisieren<V>ung<NN><SUFF>Schritt<NN>chen<SUFF>	Stabilisierungsschritt
Glaskörnchen	Glas<NN>Korn<NN>chen<SUFF>	Glaskorn
Uferplätzchen	Ufer<NN>Platz<NN>chen<SUFF>	Uferplatz
Miniaturpüppchen	Miniatur<NN>Puppe<NN>chen<SUFF>	Miniaturpuppe
Gurkenstückchen	Gurke<NN>Stück<NN>chen<SUFF>	Gurkenstück
Kokainkügelchen	Kokain<NN>Kugel<NN>chen<SUFF>	Kokainkugel
Meisenpärchen	Meise<NN>Paar<NN>chen<SUFF>	Meisenpaar
Renaissanceschlösschen	Renaissance<NN>Schloss<NN>chen<SUFF>	Renaissanceschloss
Pfifferlingssüppchen	Pfifferling<NN>Suppe<NN>chen<SUFF>	Pfifferlingssuppe
Babyhausschweinchen	Baby<NN>Haus<NN>Schwein<NN>chen<SUFF>	Babyhausschwein
Plüschhündchen	Plüsch<NN>Hund<NN>chen<SUFF>	Plüschhund
Couchtischchen	Couch<NN>Tisch<NN>chen<SUFF>	Couchtisch
Alltagsproblemchen	Alltag<NN>Problem<NN>chen<SUFF>	Alltagsproblem
Stahlköfferchen	Stahl<NN>Koffer<NN>chen<SUFF>	Stahlkoffer
Kampfkätzchen	Kampf<NN>Katze<NN>chen<SUFF>	Kampfkatze
Herrenhandtäschchen	Herr<NN>Handtasche<NN>chen<SUFF>	Herrenhandtasche
Wärmeleitröhrchen	Wärme<NN>leiten<V>Rohr<NN>chen<SUFF>	Wärmeleitrohr
Kosmetikpröbchen	Kosmetik<NN>Probe<NN>chen<SUFF>	Kosmetikprobe
Blütenwölkchen	Blüte<NN>Wolke<NN>chen<SUFF>	Blütenwolke
Bachpfädchen	Bach<NN>Pfad<NN>chen<SUFF>	Bachpfad
Mehlsäckchen	Mehl<NN>Sack<NN>chen<SUFF>	Mehlsack
Kaschmirjäckchen	Kaschmir<NN>Jacke<NN>chen<SUFF>	Kaschmirjacke
Goldknöpfchen	Gold<NN>Knopf<NN>chen<SUFF>	Goldknopf
Dekotischchen	Deko<NN>Tisch<NN>chen<SUFF>	Dekotisch
Aluminiumtöpfchen	Aluminium<NN>Topf<NN>chen<SUFF>	Aluminiumtopf
Steinmäuerchen	Stein<NN>Mauer<NN>chen<SUFF>	Steinmauer
Putzerfischchen	putzen<V>er<NN><SUFF>Fisch<NN>chen<SUFF>	Putzerfisch
Lebkuchenmännchen	Lebkuchen<NN>Mann<NN>chen<SUFF>	Lebkuchenmann
Lenkradkörbchen	lenken<V>Rad<NN>Korb<NN>chen<SUFF>	Lenkradkorb
Textkärtchen	Text<NN>Karte<NN>chen<SUFF>	Textkarte
Papierfigürchen	Papier<NN>Figur<NN>chen<SUFF>	Papierfigur
Ballettschühchen	Ballett<NN>Schuh<NN>chen<SUFF>	Ballettschuh
Nickelbrillchen	Nickel<NN>Brille<NN>chen<SUFF>	Nickelbrille
Plastiktässchen	Plastik<NN>Tasse<NN>chen<SUFF>	Plastiktasse
Medizinschränkchen	Medizin<NN>Schranke<NN>chen<SUFF>	Medizinschrank
Himbeersahnetörtchen	Himbeere<NN>Sahne<NN>Torte<NN>chen<SUFF>	Himbeersahnetorte
Stadtflitzerchen	Stadt<NN>Flitzer<NN>chen<SUFF>	Stadtflitzer
Minenstädtchen	Mine<NN>Stadt<NN>chen<SUFF>	Minenstadt
Uranoxidpartikelchen	Uran<NN>Oxid<NN>Partikel<NN>chen<SUFF>	Uranoxidpartikel
Butterhäufchen	Butter<NN>Haufen<NN>chen<SUFF>	Butterhaufen
Computerspielchen	Computer<NN>Spiel<NN>chen<SUFF>	Computerspiel
Liebeszettelchen	Liebe<NN>Zettel<NN>chen<SUFF>	Liebeszettel
Nippesfigürchen	Nippes<NN>Figur<NN>chen<SUFF>	Nippesfigur
Kürbiswürfelchen	Kürbis<NN>Würfel<NN>chen<SUFF>	Kürbiswürfel
Kursheftchen	Kurs<NN>Heft<NN>chen<SUFF>	Kursheft
Luxushotelinselchen	Luxus<NN>Hotel<NN>Insel<NN>chen<SUFF>	Luxushotelinsel
Mondsteinchen	Mond<NN>Stein<NN>chen<SUFF>	Mondstein
Klohäuschen	Klo<NN>Haus<NN>chen<SUFF>	Klohaus
Federbettchen	Feder<NN>Bett<NN>chen<SUFF>	Federbett
Seifenblasenfläschchen	Seife<NN>Blase<NN>Flasche<NN>chen<SUFF>	Seifenblasenflasche
Reisebettchen	Reise<NN>Bett<NN>chen<SUFF>	Reisebett
Zwiebeltürmchen	Zwiebel<NN>Turm<NN>chen<SUFF>	Zwiebelturm
Halskettchen	Hals<NN>Kette<NN>chen<SUFF>	Halskette
Frühblüherblümchen	früh<ADJ>blühen<V>er<NN><SUFF>Blume<NN>chen<SUFF>	Frühblüherblume
Rouladenspießchen	Roulade<NN>Spieß<NN>chen<SUFF>	Rouladenspieß
Seidenhöschen	Seide<NN>Hose<NN>chen<SUFF>	Seidenhose
Holzkästchen	Holz<NN>Kasten<NN>chen<SUFF>	Holzkasten
Kumuluswölkchen	Kumulus<NN>Wolke<NN>chen<SUFF>	Kumuluswolke
Ameisenbärchen	Ameise<NN>Bär<NN>chen<SUFF>	Ameisenbär
Giftmüllfässchen	Gift<NN>Müll<NN>Fass<NN>chen<SUFF>	Giftmüllfass
Plastikfähnchen	Plastik<NN>Fahne<NN>chen<SUFF>	Plastikfahne
Weihnachtstörtchen	Weihnacht<NN>Torte<NN>chen<SUFF>	Weihnachtstorte
Probenfläschchen	Probe<NN>Flasche<NN>chen<SUFF>	Probenflasche
Filterpapiersäckchen	Filter<NN>Papier<NN>Sack<NN>chen<SUFF>	Filterpapiersack
Heckspoilerchen	Heck<NN>Spoiler<NN>chen<SUFF>	Heckspoiler
Kinderbettchen	Kind<NN>Bett<NN>chen<SUFF>	Kinderbett
Ersatzbirnchen	Ersatz<NN>Birne<NN>chen<SUFF>	Ersatzbirne
Karussellpferdchen	Karussell<NN>Pferd<NN>chen<SUFF>	Karussellpferd
Kohleöfchen	Kohle<NN>Ofen<NN>chen<SUFF>	Kohleofen
Papierschiffchen	Papier<NN>Schiff<NN>chen<SUFF>	Papierschiff
Frühjahrslüftchen	Frühjahr<NN>Luft<NN>chen<SUFF>	Frühjahrsluft
Samtpfötchen	Samt<NN>Pfote<NN>chen<SUFF>	Samtpfote
Vollkornschnittchen	voll<ADJ>Korn<NN>Schnitte<NN>chen<SUFF>	Vollkornschnitte
Zitronenbäumchen	Zitrone<NN>Baum<NN>chen<SUFF>	Zitronenbaum
Ingwerscheibchen	Ingwer<NN>Scheibe<NN>chen<SUFF>	Ingwerscheibe
Schokoladetäfelchen	Schokolade<NN>Tafel<NN>chen<SUFF>	Schokoladetafel
Diamantkrönchen	Diamant<NN>Krone<NN>chen<SUFF>	Diamantkrone
Rokokoschlösschen	Rokoko<NN>Schloss<NN>chen<SUFF>	Rokokoschloss
Schlafplätzchen	Schlaf<NN>Platz<NN>chen<SUFF>	Schlafplatz
Minzeblättchen	Minze<NN>Blatt<NN>chen<SUFF>	Minzeblatt
Zweiergrüppchen	zwei<CARD>er<NN><SUFF>Gruppe<NN>chen<SUFF>	Zweiergruppe
Schrebergärtchen	Schreber<NN>Garten<NN>chen<SUFF>	Schrebergarten
Regenwürmchen	Regen<NN>Wurm<NN>chen<SUFF>	Regenwurm
Wassertröpfchen	Wasser<NN>Tropfen<NN>chen<SUFF>	Wassertropfen
Stoffnestchen	Stoff<NN>Nest<NN>chen<SUFF>	Stoffnest
Partyhütchen	Party<NN>Hut<NN>chen<SUFF>	Partyhut
Kinnbärtchen	Kinn<NN>Bart<NN>chen<SUFF>	Kinnbart
Porzellantässchen	Porzellan<NN>Tasse<NN>chen<SUFF>	Porzellantasse
Taktikspielchen	Taktik<NN>Spiel<NN>chen<SUFF>	Taktikspiel
Filmprinzesschen	Film<NN>Prinzessin<NN>chen<SUFF>	Filmprinzessin
Museumslädchen	Museum<NN>Laden<NN>chen<SUFF>	Museumsladen
Luftbläschen	Luft<NN>Blase<NN>chen<SUFF>	Luftblase
Niedervoltlämpchen	nieder<ADJ>Volt<NN>Lampe<NN>chen<SUFF>	Niedervoltlampe
Tannenwäldchen	Tanne<NN>Wald<NN>chen<SUFF>	Tannenwald
Qualitätsmäntelchen	Qualität<NN>Mantel<NN>chen<SUFF>	Qualitätsmantel
Ruhepäuschen	Ruhe<NN>Pause<NN>chen<SUFF>	Ruhepause
Bauchpölsterchen	Bauch<NN>Polster<NN>chen<SUFF>	Bauchpolster
Bootstreppchen	Boot<NN>Treppe<NN>chen<SUFF>	Bootstreppe
Unschuldsmäntelchen	Unschuld<NN>Mantel<NN>chen<SUFF>	Unschuldsmantel
Plastikkrönchen	Plastik<NN>Krone<NN>chen<SUFF>	Plastikkrone
Papierförmchen	Papier<NN>Form<NN>chen<SUFF>	Papierform
Mamasöhnchen	Mama<NN>Sohn<NN>chen<SUFF>	Mamasohn
Kaffeepflänzchen	Kaffee<NN>Pflanze<NN>chen<SUFF>	Kaffeepflanze
Kräuterschnäpschen	Kraut<NN>Schnaps<NN>chen<SUFF>	Kräuterschnaps
Farbnäpfchen	Farbe<NN>Napf<NN>chen<SUFF>	Farbnapf
Hasenöhrchen	Hase<NN>Ohr<NN>chen<SUFF>	Hasenohr
Feinstaubkörperchen	fein<ADJ>Staub<NN>Körper<NN>chen<SUFF>	Feinstaubkörper
Atomfässchen	Atom<NN>Fass<NN>chen<SUFF>	Atomfass
Zauberwörtchen	Zauber<NN>Wort<NN>chen<SUFF>	Zauberwort
Pinguinfüßchen	Pinguin<NN>Fuß<NN>chen<SUFF>	Pinguinfuß
Stupsnäschen	Stups<NN>Nase<NN>chen<SUFF>	Stupsnase
Arzneipülverchen	Arznei<NN>Pulver<NN>chen<SUFF>	Arzneipulver
Weisheitsfältchen	Weisheit<NN>Falte<NN>chen<SUFF>	Weisheitsfalte
Sexbömbchen	Sex<NN>Bombe<NN>chen<SUFF>	Sexbombe
Verdauungsschläfchen	verdauen<V>ung<NN><SUFF>Schlaf<NN>chen<SUFF>	Verdauungsschlaf
Puppenärmchen	Puppe<NN>Arm<NN>chen<SUFF>	Puppenarm
Teichhühnchen	Teich<NN>Huhn<NN>chen<SUFF>	Teichhuhn
Rosmarinzweigchen	Rosmarin<NN>Zweig<NN>chen<SUFF>	Rosmarinzweig
Trendnäschen	Trend<NN>Nase<NN>chen<SUFF>	Trendnase
Zoopalästchen	Zoo<NN>Palast<NN>chen<SUFF>	Zoopalast
Milchzähnchen	Milch<NN>Zahn<NN>chen<SUFF>	Milchzahn
Kupferpfännchen	Kupfer<NN>Pfanne<NN>chen<SUFF>	Kupferpfanne
Hundehäufchen	Hund<NN>Haufen<NN>chen<SUFF>	Hundehaufen
Positionsrädchen	Position<NN>Rad<NN>chen<SUFF>	Positionsrad
Rosmarinkartöffelchen	Rosmarin<NN>Kartoffel<NN>chen<SUFF>	Rosmarinkartoffel
Sonnenscheinchen	Sonne<NN>Schein<NN>chen<SUFF	Sonnenschein
Spielzeughämmerchen	Spielzeug<NN>Hammer<NN>chen<SUFF>	Spielzeughammer
Endivienpflänzchen	Endivie<NN>Pflanze<NN>chen<SUFF>	Endivienpflanze
Wollmützchen	Wolle<NN>Mütze<NN>chen<SUFF>	Wollmütze
Studententrüppchen	Student<NN>Truppe<NN>chen<SUFF>	Studententruppe
Schneebällchen	Schnee<NN>Ball<NN>chen<SUFF>	Schneeball
Ausflugsörtchen	Ausflug<NN>Sorte<NN>chen<SUFF>	Ausflugsort
Millionärssöhnchen	Millionär<NN>Sohn<NN>chen<SUFF>	Millionärssohn
Eierlikörchen	Ei<NN>Likör<NN>chen<SUFF>	Eierlikör
Raubkätzchen	Raub<NN>Katze<NN>chen<SUFF>	Raubkatze
Porzellanvögelchen	Porzellan<NN>Vogel<NN>chen<SUFF>	Porzellanvogel
Flimmerhärchen	Flimmer<NN>Haar<NN>chen<SUFF>	Flimmerhaar
Teelöffelchen	Tee<NN>Löffel<NN>chen<SUFF>	Teelöffel
Wollsöckchen	Wolle<NN>Socke<NN>chen<SUFF>	Wollsocke
