Junggeselle<NN>Schleuder	Junggesellenschleuder
Abschwung<NN>Strategie	Abschwungstrategie
Schierling<NN>Gouvernante	Schierlingsgouvernante
Maschine<NN>Nepotismus	Maschinennepotismus
Unterricht<NN>Nichte	Unterrichtsnichte
Adaption<NN>Zank	Adaptionszank
Adoption<NN>Teppich	Adoptionsteppich
Grütze<NN>Trasse	Grützentrasse
Yoga<NN>Hobbit	Yogahobbit
Spende<NN>Klette	Spendenklette
Flötist<NN>Bandage	Flötistenbandage
Faser<NN>Selektivität	Faserselektivität
Amnesie<NN>Knospe	Amnesieknospe
Domäne<NN>Tau	Domänentau
Revisor<NN>Aprikose	Revisorenaprikose
Akzent<NN>Intervall	Akzentintervall
Produzent<NN>Schellfisch	Produzentenschellfisch
Kobold<NN>Mittelschicht	Koboldmittelschicht
Umschwung<NN>Reflektor	Umschwungsreflektor
Pflug<NN>Sucht	Pflugsucht
Verdienst<NN>Köter	Verdienstköter
Karte<NN>Bindung	Kartenbindung
Strafstoß<NN>Schnorchel	Strafstoßschnorchel
Dirndl<NN>Giraffe	Dirndlgiraffe
Verzeichnis<NN>Rohling	Verzeichnisrohling
Batterie<NN>Kuvert	Batteriekuvert
Gestrüpp<NN>Eimer	Gestrüppeimer
Detektor<NN>Eule	Detektoreule
Vorbild<NN>Atom	Vorbildatom
Macht<NN>Strumpf	Machtstrumpf
Newsletter<NN>Purgatorium	Newsletterpurgatorium
Wetter<NN>Schokolade	Wetterschokolade
Dekoration<NN>Population	Dekorationspopulation
Ruder<NN>Drops	Ruderdrops
Zentimeter<NN>Blick	Zentimeterblick
Sauerampfer<NN>Testament	Sauerampfertestament
Queen<NN>Fortbildung	Queenfortbildung
Korrespondenz<NN>Praktikant	Korrespondenzpraktikant
Vorstellung<NN>Konsortium	Vorstellungskonsortium
Außenminister<NN>Saurier	Außenministersaurier
Generator<NN>Schönling	Generatorschönling
Gebärde<NN>Schraffur	Gebärdenschraffur
Groschen<NN>Eifer	Groscheneifer
Styropor<NN>Vehikel	Styroporvehikel
Verdienst<NN>Bordüre	Verdienstbordüre
Qualifikation<NN>Schnute	Qualifikationsschnute
Schnorchel<NN>Jubel	Schnorcheljubel
Kasten<NN>Tennis	Kastentennis
Regen<NN>Volontär	Regenvolontär
Büschel<NN>Akteur	Büschelakteur
Gewichtheber<NN>Galaxis	Gewichthebergalaxis
Essig<NN>Lotus	Essiglotus
Kürbis<NN>Enthusiast	Kürbisenthusiast
Oblate<NN>Neuigkeit	Oblatenneuigkeit
Tageszeitung<NN>Gemäuer	Tageszeitungsgemäuer
Urkunde<NN>Potenzial	Urkundenpotenzial
Elefant<NN>Rate	Elefantenrate
Panda<NN>Gehör	Pandagehör
Galaxie<NN>Willkür	Galaxiewillkür
Wulst<NN>Analphabet	Wulstanalphabet
Realität<NN>Efeu	Realitätsefeu
Beilage<NN>Granulation	Beilagengranulation
Journalistik<NN>Rind	Journalistikrind
Fehler<NN>Gelee	Fehlergelee
Marmor<NN>Neutralisation	Marmorneutralisation
Latrine<NN>Stummel	Latrinenstummel
Schneesturm<NN>Schaum	Schneesturmschaum
Pappe<NN>Nisse	Pappnisse
Arbeitsamt<NN>Schacht	Arbeitsamtschacht
Dummheit<NN>Sympathisant	Dummheitssympathisant
Avantgarde<NN>Platine	Avantgardeplatine
Daune<NN>Blasphemie	Daunenblasphemie
Falsett<NN>Prämie	Falsettprämie
Solidität<NN>Frühling	Soliditätsfrühling
Markt<NN>Futteral	Marktfutteral
Synagoge<NN>Gemse	Synagogengemse
Doppelzimmer<NN>Therapeut	Doppelzimmertherapeut
Delegation<NN>Stute	Delegationsstute
Tagebau<NN>Ziege	Tagebauziege
Relativität<NN>Saibling	Relativitätssaibling
Föhn<NN>Kröte	Föhnkröte
Ausweis<NN>Rille	Ausweisrille
Samstag<NN>Gürtel	Samstagsgürtel
Account<NN>Dichter	Accountdichter
Schnepfe<NN>Frechheit	Schnepfenfrechheit
Navigator<NN>Barren	Navigatorbarren
Textur<NN>Bemerkung	Texturbemerkung
Sofa<NN>Beifall	Sofabeifall
Tieflader<NN>Stauchung	Tiefladerstauchung
Sonett<NN>Voyeurismus	Sonettvoyeurismus
Floh<NN>Temperament	Flohtemperament
Gel<NN>Quarantäne	Gelquarantäne
Gewächs<NN>Büffett	Gewächsbüffett
Lotterie<NN>Kriminalist	Lotteriekriminalist
Konföderation<NN>Inserat	Konföderationsinserat
Bergamotte<NN>Vorarbeiter	Bergamottevorarbeiter
Düsternis<NN>Regatta	Düsternisregatta
Picknick<NN>Metabolismus	Picknickmetabolismus
Moral<NN>Vorspeise	Moralvorspeise
Monolog<NN>Trockner	Monologtrockner
Pilz<NN>Stratege	Pilzstratege
Flanell<NN>Rasierer	Flanellrasierer
Marmor<NN>Crêpe	Marmorcrêpe
Kleidung<NN>Münze	Kleidungsmünze
Trödler<NN>Kohlrabi	Trödlerkohlrabi
Magistrat<NN>Heiterkeit	Magistratsheiterkeit
Zucker<NN>Veilchen	Zuckerveilchen
Wal<NN>Hülse	Walhülse
Zeitgenosse<NN>Beutel	Zeitgenossenbeutel
Fabrikat<NN>Kruste	Fabrikatskruste
Agenda<NN>Wespe	Agendawespe
Eiche<NN>Stachel	Eichenstachel
Behälter<NN>Abhang	Behälterabhang
Poularde<NN>Kompatibilität	Poulardenkompatibilität
Traube<NN>Antidepressivum	Traubenantidepressivum
Wand<NN>Glatze	Wandglatze
Zeuge<NN>Tinte	Zeugentinte
Tribunal<NN>Phonem	Tribunalphonem
Speck<NN>Asthma	Speckasthma
Ampulle<NN>Posaune	Ampullenposaune
Isolation<NN>Jacht	Isolationsjacht
Aktion<NN>Teleskop	Aktionsteleskop
Tyrann<NN>Geld	Tyrannengeld
Klausel<NN>Röhre	Klauselröhre
Meteorit<NN>Bastei	Meteoritenbastei
Bauer<NN>Klarinette	Bauernklarinette
Aquädukt<NN>Garnele	Aquäduktsgarnele
Wetter<NN>Sprosse	Wettersprosse
Immunität<NN>Urne	Immunitätsurne
Mücke<NN>Vorstrafe	Mückenvorstrafe
Efeu<NN>Anteil	Efeuanteil
Zichorie<NN>Tabelle	Zichorientabelle
Auster<NN>Minorität	Austernminorität
Flatrate<NN>Uhu	Flatrateuhu
Knorpel<NN>Rüsche	Knorpelrüsche
Bürgerrecht<NN>Thermik	Bürgerrechtethermik
Gesellschaft<NN>Flechte	Gesellschaftsflechte
Tiger<NN>Karotte	Tigerkarotte
Purzelbaum<NN>Pediküre	Purzelbaumpediküre
Fallschirm<NN>Quiz	Fallschirmquiz
